STO ▼,CUST_BREAKDOWN▼,"Tax name according to national classification
(in one of national languages)",,,"Tax name according to national classification
(in English) CUST_BREAKDOWN_LB ▼",,,,"Economic 
function ▼","Alcohol, tobacco,
environmental and property tax▼ TIME►
",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,
D2,_T,IMPOSTOS SOBRE A PRODUÇÃO E A IMPORTAÇÃO,,,Taxes on production and imports,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39135.14,,,,,,,
D21,_T,Impostos sobre os produtos,,,Taxes on products,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35332.45,,,,,,,
D211,_T,Impostos do tipo valor acrescentado (IVA),,,Value added type taxes (VAT),,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24086.25,,,,,,,
D211,C01,Imposto sobre o valor acrescentado (IVA),,,Value added tax,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24086.25,,,,,,,
D212,_T,"Impostos e direitos sobre a importação, excepto o IVA",,,Taxes and duties on imports excluding VAT,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.04,,,,,,,
D2121,_T,Direitos de importação,,,Import duties,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.36,,,,,,,
D2121,C01,Direitos aduaneiros,,,Import levies,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.36,,,,,,,
D2121,C02,Sobretaxa de importação nacional,,,National import surtax,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122,_T,"Impostos sobre a importação, excepto o IVA e direitos sobre a importação",,,"Taxes on imports, excluding VAT and import duties",,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.68,,,,,,,
D2122A,_T,Impostos sobre produtos agrícolas importados,,,Levies on imported agricultural products,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122A,C01,Direitos agrícolas de importação,,,Agricultural levies,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122A,C02,Quotização sobre o açúcar e isoglucose,,,Production levy on sugar and isoglucose,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122B,_T,Montantes compensatórios monetários sobre a importação,,,Monetary compensatory amounts on imports,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122C,_T,Impostos especiais sobre o consumo (importação),,,Excise duties,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.68,,,,,,,
D2122C,C01,Imposto sobre o tabaco (importação),,,Excise duties on imported tobacco,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.88,,,,,,,
D2122C,C02,Imposto sobre o álcool (importação),,,Excise duties on imported ethyl alcohol,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,
D2122C,C03,Imposto sobre as bebidas alcoólicas (importação),,,Excise duties on imported alcoholic beverages,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.36,,,,,,,
D2122C,C04,Imposto sobre a cerveja (importação),,,Excise duties on imported beer,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17,,,,,,,
D2122C,C05,Contribuição sobre os sacos de plástico leves (importação),,,Excise duties on lightweight plastic bags,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122C,C06,Imposto sobre as bebidas adicionadas de açúcar ou outros edulcorantes (importação),,,Excise duties on imported beverages with added sugar or other sweeteners,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58,,,,,,,
D2122C,C07,Taxa sobre embalagens não reutilizáveis - ECOL-EMB (importação),,,Fee on imported non-reusable beverage packaging,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122D,_T,Impostos gerais sobre as vendas de produtos importados,,,General sales taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122E,_T,Impostos sobre serviços específicos fornecidos por não-residentes,,,Taxes on specific services,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D2122F,_T,Lucros dos monopólios da importação,,,Profits of import monopolies,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214,_T,"Impostos sobre os produtos, excepto o IVA e os impostos sobre a importação",,,"Taxes on products, except VAT and import taxes",,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9769.17,,,,,,,
D214A,_T,Impostos especiais sobre o consumo (produção nacional),,,Excise duties and consumption taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081.19,,,,,,,
D214A,C01,Imposto sobre o tabaco (produção nacional),,,Excise duties on tobacco,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.49,,,,,,,
D214A,C02,Imposto sobre o álcool (produção nacional),,,Excise duties on ethyl alcohol,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,
D214A,C03,Imposto sobre as bebidas alcoólicas (produção nacional),,,Excise duties on alcoholic beverages,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.82,,,,,,,
D214A,C04,Imposto sobre a cerveja (produção nacional),,,Excise duties on beer,,,,C,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.74,,,,,,,
D214A,C05,Contribuição sobre os sacos de plástico leves (produção nacional),,,Excise duties on lightweight plastic bags,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,
D214A,C06,Imposto sobre as bebidas adicionadas de açúcar ou outros edulcorantes (produção nacional),,,Excise duties on beverages with added sugar or other sweeteners,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.71,,,,,,,
D214A,C07,Taxa sobre embalagens não reutilizáveis - ECOL-EMB (produção nacional),,,Fee on non-reusable beverage packaging,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,
D214A,C08,Imposto sobre os produtos petrolíferos e energéticos,,,Tax on oil and energy products,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239.15,,,,,,,
D214A,C09,Contribuição sobre as embalagens de utilização única,,,Excise duties on single-use packages,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,,,,,,,
D214B,_T,Imposto do selo,,,Stamp taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.43,,,,,,,
D214B,C01,Estampilhas fiscais,,,Revenue stamps,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214B,C02,Imposto do selo sobre operações bancárias,,,Stamp duty on bank transactions,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.64,,,,,,,
D214B,C03,Imposto do selo sobre prémios de seguro,,,Stamp duty on insurance premiums,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.71,,,,,,,
D214B,C04,Imposto do selo sobre serviços recreativos,,,Stamp duty on entertainment services,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.99,,,,,,,
D214B,C05,Imposto do selo sobre arrendamento de prédios,,,Stamp duty on leasing of buildings,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30,,,,,,,
D214B,C06,Imposto do selo sobre operações de endividamento,,,Stamp duty on debt related operations,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93,,,,,,,
D214B,C07,Imposto do selo sobre escrituras e hipotecas,,,Stamp duty on registrations and mortgages,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,
D214B,C08,Imposto do selo sobre operações de compra e venda,,,Stamp duty on commercial transactions,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.08,,,,,,,
D214B,C09,Imposto do selo sobre reuniões de capitais,,,Stamp duty on the raising of capital,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214B,C10,Imposto do selo - diversos,,,Stamp duty - miscellaneous,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85,,,,,,,
D214C,_T,Imposto sobre operações financeiras e de capital,,,Taxes on financial and capital transactions,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.39,,,,,,,
D214C,C01,Imposto municipal sobre as transmissões onerosas de imóveis (IMT),,,Real estate transfer tax - Local Government,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.39,,,,,,,
D214D,_T,Impostos sobre o registo de automóveis,,,Car registration taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.85,,,,,,,
D214D,C01,Imposto sobre veículos (ISV),,,Tax on motor vehicle sales,,,,C,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.85,,,,,,,
D214E,_T,Impostos sobre diversões,,,Taxes on entertainment,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214E,C01,Imposto de consumo em locais de diversão,,,Duty on consumption in places of entertainment,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214F,_T,"Impostos sobre lotarias, jogos e apostas",,,"Taxes on lotteries, gambling and betting",,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.78,,,,,,,
D214F,C01,Imposto especial de jogo,,,Special gambling tax,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.78,,,,,,,
D214G,_T,Impostos sobre prémios de seguros,,,Taxes on insurance premiums,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.83,,,,,,,
D214G,C01,Contribuição sobre prémios de seguros de vida e de não vida destinada ao sistema nacional de proteção civil e emergência médica,,,Fee on life and non life insurance premiums intended to the national system of civil protection and medical emergency,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.97,,,,,,,
D214G,C02,Contribuição sobre os prémios comerciais de contratos de seguro automóvel destinada à Prevenção Rodoviária,,,Fee on motor vehicle insurance premiums intended to Road Safety,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,,
D214G,C03,Contribuição sobre os prémios comerciais da cobertura obrigatória do seguro de responsabilidade civil automóvel destinada ao Fundo de Garantia Automóvel,,,Fee on motor vehicle liability insurance premiums intended to the Motor Vehicle Guarantee Fund,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85,,,,,,,
D214G,C04,Contribuição sobre os prémios de acidentes de trabalho destinada ao Fundo de Acidentes de Trabalho,,,Fee on occupational accident insurance premiums intended to the Occupational Accident Fund,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77,,,,,,,
D214G,C05,Contribuição sobre os prémios de seguros agrícolas destinada ao Fundo de Calamidades,,,Fee on agricultural insurance premiums intended to the Calamities Fund,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,
D214H,_T,Outros impostos sobre serviços específicos,,,Other taxes on specific services,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.87,,,,,,,
D214H,C01,Taxa de exploração sobre as instalações elétricas,,,Fee on electric installations,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,,,,,,,
D214H,C02,Taxa de segurança sobre os passageiros do transporte aéreo,,,Security fee on air travel passengers,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.90,,,,,,,
D214H,C03,Taxa de exibição sobre a publicidade comercial,,,Exhibit fee on commercial advertising,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60,,,,,,,
D214H,C04,Taxas de fiscalização do jogo,,,Fee on gambling inspections and checks,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214I,_T,Impostos gerais sobre as vendas,,,General sales or turnover taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37,,,,,,,
D214I,C01,Taxas sobre a venda de bordados e tapeçaria artesanal da Madeira,,,"Fee on sales of Madeira embroidery, tapestry and craftwork",,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214I,C02,Compensação devida pela reprodução ou gravação de obras,,,Private copying levy,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37,,,,,,,
D214J,_T,Lucros dos monopólios fiscais,,,Profits of fiscal monopolies,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.20,,,,,,,
D214J,C01,Lucros do Departamento de Jogos da SCML,,,Profits of mutual betting and gambling agency,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.20,,,,,,,
D214K,_T,Imposto sobre as exportações e montantes compensatórios monetários sobre as exportações,,,Export duties and monetary comp. amounts on exports,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214L,_T,Outros impostos sobre os produtos não especificados,,,Other taxes on products n.e.c.,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.25,,,,,,,
D214L,C01,Taxa sobre o valor de adjudicações de obras públicas,,,Fee on the value of public contracts,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214L,C02,Taxa de promoção e certificação de produtos vínicos,,,Promotion and certification fee on wine products,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80,,,,,,,
D214L,C03,Taxa de certificação sobre o Vinho do Porto,,,Certification fee on Port Wine,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,,,,,
D214L,C04,"Taxa sobre a comercialização de produtos, aparelhos e equipamentos médicos",,,"Fee on sales of medical products, appliances and equipment",,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,
D214L,C05,Taxa sobre lâmpadas de baixa eficiência energética,,,Fee on low energetic efficient light bulbs,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
D214L,C06,Imposição suplementar sobre os excedentes leiteiros,,,Levies for exceeding milk production quotas,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214L,C07,Taxas cobradas pelo IROMA ,,,Duties levied by IROMA ,,,,C,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D214L,C08,Prestação para a constituição e manutenção obrigatória de reservas de produtos petrolíferos,,,Fee for the obligatory establishment and maintenance of reserves of petroleum products,,,,KS,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.72,,,,,,,
D29,_T,Outros impostos sobre a produção,,,Other taxes on production,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802.68,,,,,,,
D29A,_T,"Impostos sobre a propriedade ou utilização de terrenos, edifícios ou outras estruturas",,,"Taxes on land, buildings or other structures",,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.79,,,,,,,
D29A,C01,Imposto municipal sobre imóveis (IMI),,,Real estate tax - Local Government,,,,KS,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.56,,,,,,,
D29A,C02,Taxa de regulação das infraestruturas rodoviárias,,,Regulation fee on road infrastructures,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,,,,,,,
D29A,C03,Taxa de regulação das infraestruturas ferroviárias,,,Regulation fee on railway infrastructures,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29A,C04,Taxa de regulação das infraestruturas portuárias,,,Regulation fee on port infrastructures,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,
D29A,C05,Taxa de segurança alimentar mais,,,Food safety fee,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83,,,,,,,
D29A,C06,Taxa de registo dos certificados energéticos de edifícios,,,Registration fee of energy certificates for buildings,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66,,,,,,,
D29A,C07,Taxa municipal de proteção civil,,,Municipal tax of civil protection,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,
D29B,_T,Impostos sobre a utilização de ativos fixos para fins de produção,,,Taxes on the use of fixed assets,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.05,,,,,,,
D29B,C01,Imposto municipal sobre veículos,,,Local tax on vehicles,,,,KS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29B,C02,Imposto rodoviário - circulação,,,Road tax - traffic,,,,KS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29B,C03,Imposto rodoviário - camionagem,,,Road tax - haulage,,,,KS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29B,C04,Imposto único de circulação,,,Unified circulation tax,,,,KS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.24,,,,,,,
D29B,C05,Taxa do sistema de gestão dos consumos intensivos de energia,,,Fee of the management system of intensive energy consumptions,,,,KS,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,
D29B,C06,Contribuição extraordinária sobre o setor energético,,,Extraordinary contribution on energy industry,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.73,,,,,,,
D29C,_T,Impostos sobre a massa salarial ou sobre a mão-de-obra,,,Total wage bill and payroll taxes,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29C,C01,Taxa municipal de transportes,,,Local fee on transportation,,,,LEYRS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29D,_T,Impostos sobre transacções internacionais,,,Taxes on international transactions,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29E,_T,Impostos pagos pelas empresas pela obtenção de licenças comerciais ou profissionais,,,Business and professional licences,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.96,,,,,,,
D29E,C01,Taxas sobre espectáculos e divertimentos públicos,,,Fees on public entertainments,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,
D29E,C02,Taxas de legalização e de concessão do direito de plantação de vinha,,,Fees for legalization and granting of rights to planting vines,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,
D29E,C03,Taxa de licenciamento anual para o exercício da pesca e utilização das artes,,,Fishery license fee,,,,KS,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,,,,,
D29E,C04,Serviços gerais e licenças concedidas às empresas,,,General services and licenses granted to corporations,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.59,,,,,,,
D29E,C05,Taxa de utilização de frequências,,,Fee on use of communication frequencies,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.96,,,,,,,
D29E,C06,Taxa anual sobre a atividade de fornecedor de redes e serviços de comunicações electrónicas,,,Annual fee on activities related to services in electronic communications,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77,,,,,,,
D29E,C07,Taxa sobre a atividade de prestador de serviços postais explorados em concorrência,,,Fee on activities related to postal services,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,
D29E,C08,Taxa sobre instaladores e outras entidades relacionadas com Infra-estruturas de Telecomunicações em Edifícios (ITED),,,Fee for registry of  entities related to Telecommunications Infrastructure in Buildings,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
D29E,C09,Taxa pela atribuição de títulos habilitadores aos operadores de rádio e de televisão,,,Licence on radio and television operators,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,
D29E,C10,Taxas sobre atividades de transporte rodoviário,,,Fees on road transport activities,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,
D29E,C11,Taxa de registo de prestadores de cuidados de saúde,,,Fee for the registration of health care providers,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,,,,,,,
D29E,C12,Tarifas do Sistema de Identificação Electrónica de Veículos,,,Fees for the System of Electronic Identification of Vehicles,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,
D29E,C13,Contribuição de regulação e supervisão sobre a atividade de transporte individual em veículos descaracterizados (TVDE),,,Regulation and supervision fee on the activity of individual transport in uncharacterized vehicles,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,,,,,,,
D29F,_T,Impostos sobre a poluição resultante das atividades produtivas,,,Taxes on pollution,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.32,,,,,,,
D29F,C01,Taxa recursos hídricos,,,Fee for the use of water resources,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,
D29F,C02,Licença Especial de Ruído,,,Tax on noise,,,,C,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60,,,,,,,
D29F,C03,Licenças de emissão de gases com efeito de estufa,,,Carbon trading rights,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.21,,,,,,,
D29G,_T,Subcompensação do IVA resultante da aplicação do regime forfetário,,,Under-compensation of VAT (flat rate system),,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29H,_T,Outros impostos sobre a produção não especificados,,,Other taxes on production n.e.c.,,,,_Z,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.57,,,,,,,
D29H,C01,Dívidas de impostos indirectos regularizadas ou cobradas coercivamente,,,Tax arrears received,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,,
D29H,C02,Outros impostos indirectos,,,Other miscellaneous taxes on production,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,
D29H,C03,Taxa anual sobre os operadores de serviços de televisão por subscrição,,,Annual fee on subscription television service operators,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,
D29H,C04,Montante temporário a título de reestruturação da indústria açucareira,,,Temporary restructuring amount of the sugar industry,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29H,C05,Contribuição sobre a indústria farmacêutica,,,Contribution on pharmaceutical industry,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.44,,,,,,,
D29H,C06,Contribuição sobre as entidades concessionárias das redes de transporte de energia,,,Contribution on concessionaires of power grids,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13,,,,,,,
D29H,C07,Taxa sobre operações de concentração,,,Fee on merger operations ,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,
D29H,C08,Taxa de regulação dos serviços de águas e resíduos,,,Regulatory fee on water and waste services,,,,KS,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,,,,,,,
D29H,C09,Taxa de regulação da qualidade da água para consumo humano,,,Regulatory fee on quality of water for human consumption,,,,KS,P/RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,
D29H,C10,Taxas de comercialização e regulação do INFARMED,,,Fees collected by the National Authority of Medicines and Health Products,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.47,,,,,,,
D29H,C11,Taxa de regulação do setor da construção e do imobiliário,,,Regulatory fee on construction and real estate industries,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.59,,,,,,,
D29H,C12,Taxa sobre as entidades que prosseguem actividades no âmbito da comunicação social,,,Fee on entities that pursue activities within the media,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,,,,,,,
D29H,C13,Comparticipação sobre inspeções e reinspeções de veículos e sobre exames de condução,,,Fee on inspections and reinspections of vehicles and on driving exams,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32,,,,,,,
D29H,C14,Contribuição de solidariedade temporária sobre o setor da energia,,,Temporary solidarity contribution on energy industry,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,
D29H,C15,Contribuição de solidariedade temporária sobre o setor da distribuição alimentar,,,Temporary solidarity contribution on food distribution industry,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,,,,,,,
D29H,C16,Contribuição das empresas de seguro relativa ao capital de remição das pensões em pagamento,,,Pension redemption fee on insurance companies,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,
D29H,C17,Contribuições para o Fundo de Garantia de Depósitos e de Garantia do Crédito Agrícola Mútuo,,,Contributions for the Deposit Guarantee Fund and for the Mutual Agricultural Credit Guarantee Fund,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,
D29H,C18,Contribuição sobre o sector bancário,,,Contribution on banking industry,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.96,,,,,,,
D29H,C19,Contribuições para o Fundo de Resolução,,,Contributions for the Resolution Fund,,,,KS,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.16,,,,,,,
D29H,C20,Contribuição para o Fundo de Garantia de Viagens e Turismo,,,Contributions for the Travel and Tourism Guarantee Fund,,,,KS,_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,
