"source_row_number","sto_code","cust_breakdown","row_type","tax_name_pt","tax_name_en","economic_function","at_ep_tax_flag","value_2023_raw","value_2023_eur_m","is_missing_2023"
"2","D2","_T","aggregate","IMPOSTOS SOBRE A PRODUÇÃO E A IMPORTAÇÃO","Taxes on production and imports","_Z","_Z","39135.14","39135.14","no"
"3","D21","_T","aggregate","Impostos sobre os produtos","Taxes on products","_Z","_Z","35332.45","35332.45","no"
"4","D211","_T","aggregate","Impostos do tipo valor acrescentado (IVA)","Value added type taxes (VAT)","_Z","_Z","24086.25","24086.25","no"
"5","D211","C01","leaf","Imposto sobre o valor acrescentado (IVA)","Value added tax","C","_Z","24086.25","24086.25","no"
"6","D212","_T","aggregate","Impostos e direitos sobre a importação, excepto o IVA","Taxes and duties on imports excluding VAT","_Z","_Z","1477.04","1477.04","no"
"7","D2121","_T","aggregate","Direitos de importação","Import duties","_Z","_Z","304.36","304.36","no"
"8","D2121","C01","leaf","Direitos aduaneiros","Import levies","C","_Z","304.36","304.36","no"
"10","D2122","_T","aggregate","Impostos sobre a importação, excepto o IVA e direitos sobre a importação","Taxes on imports, excluding VAT and import duties","_Z","_Z","1172.68","1172.68","no"
"15","D2122C","_T","aggregate","Impostos especiais sobre o consumo (importação)","Excise duties","_Z","_Z","1172.68","1172.68","no"
"16","D2122C","C01","leaf","Imposto sobre o tabaco (importação)","Excise duties on imported tobacco","C","AT","1065.88","1065.88","no"
"17","D2122C","C02","leaf","Imposto sobre o álcool (importação)","Excise duties on imported ethyl alcohol","C","AT","0.70","0.7","no"
"18","D2122C","C03","leaf","Imposto sobre as bebidas alcoólicas (importação)","Excise duties on imported alcoholic beverages","C","AT","73.36","73.36","no"
"19","D2122C","C04","leaf","Imposto sobre a cerveja (importação)","Excise duties on imported beer","C","AT","11.17","11.17","no"
"21","D2122C","C06","leaf","Imposto sobre as bebidas adicionadas de açúcar ou outros edulcorantes (importação)","Excise duties on imported beverages with added sugar or other sweeteners","C","_Z","21.58","21.58","no"
"26","D214","_T","aggregate","Impostos sobre os produtos, excepto o IVA e os impostos sobre a importação","Taxes on products, except VAT and import taxes","_Z","_Z","9769.17","9769.17","no"
"27","D214A","_T","aggregate","Impostos especiais sobre o consumo (produção nacional)","Excise duties and consumption taxes","_Z","_Z","4081.19","4081.19","no"
"28","D214A","C01","leaf","Imposto sobre o tabaco (produção nacional)","Excise duties on tobacco","C","AT","586.49","586.49","no"
"29","D214A","C02","leaf","Imposto sobre o álcool (produção nacional)","Excise duties on ethyl alcohol","C","AT","0.17","0.17","no"
"30","D214A","C03","leaf","Imposto sobre as bebidas alcoólicas (produção nacional)","Excise duties on alcoholic beverages","C","AT","105.82","105.82","no"
"31","D214A","C04","leaf","Imposto sobre a cerveja (produção nacional)","Excise duties on beer","C","AT","103.74","103.74","no"
