node_id,value_eur_m,derivation,source_id,source_url,period,confidence,notes
consumption,181033.700,sum(12_divisions_plus_other),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Estimated +8.5% nominal growth over 2022
gdp_consumption_food_and_non_alcoholic_beverages_eur_m,31374.084,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP01)
gdp_consumption_food_and_non_CP011_food_eur_m,29640.579,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP011)
gdp_consumption_food_and_non_CP012_non_alcoholic_beverages_eur_m,1733.505,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP012)
gdp_consumption_alcoholic_beverages_tobacco_narcotics_eur_m,5642.110,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP02)
gdp_consumption_alcoholic_bev_CP021_alcoholic_beverages_eur_m,2370.292,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP021)
gdp_consumption_alcoholic_bev_CP022_tobacco_eur_m,3239.525,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP022)
gdp_consumption_alcoholic_bev_CP023_narcotics_eur_m,32.293,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP023)
gdp_consumption_clothing_and_footwear_eur_m,9425.782,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP03)
gdp_consumption_clothing_and__CP031_clothing_eur_m,7485.492,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP031)
gdp_consumption_clothing_and__CP032_footwear_eur_m,1940.290,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP032)
gdp_consumption_housing_water_electricity_gas_eur_m,31345.176,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP04)
gdp_consumption_housing_water_CP041_actual_rentals_for_housi_eur_m,5048.971,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP041)
gdp_consumption_housing_water_CP042_imputed_rentals_for_hous_eur_m,16366.529,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP042)
gdp_consumption_housing_water_CP043_maintenance_and_repair_o_eur_m,875.023,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP043)
gdp_consumption_housing_water_CP044_water_supply_and_miscell_eur_m,3258.118,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP044)
gdp_consumption_housing_water_CP045_electricity_gas_and_othe_eur_m,5796.536,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP045)
gdp_consumption_furnishings_household_equipment_eur_m,9153.155,sum(mapped_subs),SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP05)
gdp_consumption_furnishings_h_CP051_furniture_and_furnishing_eur_m,2401.761,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP051)
gdp_consumption_furnishings_h_CP052_household_textiles_eur_m,565.372,FALSE,SRC_EUROSTAT_NAMA10CO3,https://ec.europa.eu/eurostat/databrowser/view/NAMA_10_CO3_P3/,2023 Estimated,Medium,Scaled from 2022 Provisional (CP052)
