node_id,value_eur_m,derivation,source_id,source_url,period,confidence,notes
gdp_gov_exp_total_p3_eur_m,44853.2,sum(10_divisions),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Published Total (P3)
gdp_gov_exp_general_public_services_p3_eur_m,5301.4,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF01 - P3)
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_p3_eur_m,4176.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0101 - P3)
gdp_gov_exp_general_public_services_GF0102_foreign_economic_aid_p3_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0102 - P3)
gdp_gov_exp_general_public_services_GF0103_general_services_p3_eur_m,308.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0103 - P3)
gdp_gov_exp_general_public_services_GF0104_basic_research_p3_eur_m,228.1,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0104 - P3)
gdp_gov_exp_general_public_services_GF0105_randd_general_public_services_p3_eur_m,14.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0105 - P3)
gdp_gov_exp_general_public_services_GF0106_general_public_services_nec_p3_eur_m,99.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0106 - P3)
gdp_gov_exp_general_public_services_GF0107_public_debt_transactions_p3_eur_m,475.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0107 - P3)
gdp_gov_exp_general_public_services_GF0108_transfers_of_a_general_charact_p3_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0108 - P3)
gdp_gov_exp_defence_p3_eur_m,1861.7,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF02 - P3)
gdp_gov_exp_defence_GF0201_military_defence_p3_eur_m,1671.7,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0201 - P3)
gdp_gov_exp_defence_GF0202_civil_defence_p3_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0202 - P3)
gdp_gov_exp_defence_GF0203_foreign_military_aid_p3_eur_m,71.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0203 - P3)
gdp_gov_exp_defence_GF0204_randd_defence_p3_eur_m,13.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0204 - P3)
gdp_gov_exp_defence_GF0205_defence_nec_p3_eur_m,104.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0205 - P3)
gdp_gov_exp_public_order_safety_p3_eur_m,3376.7,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF03 - P3)
gdp_gov_exp_public_order_safety_GF0301_police_services_p3_eur_m,2235.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0301 - P3)
gdp_gov_exp_public_order_safety_GF0302_fire_protection_services_p3_eur_m,125.4,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0302 - P3)
gdp_gov_exp_public_order_safety_GF0303_law_courts_p3_eur_m,597.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0303 - P3)
gdp_gov_exp_public_order_safety_GF0304_prisons_p3_eur_m,320.8,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0304 - P3)
gdp_gov_exp_public_order_safety_GF0305_randd_public_order_and_safety_p3_eur_m,15.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0305 - P3)
gdp_gov_exp_public_order_safety_GF0306_public_order_and_safety_nec_p3_eur_m,82.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0306 - P3)
gdp_gov_exp_economic_affairs_p3_eur_m,4994.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF04 - P3)
gdp_gov_exp_economic_affairs_GF0401_general_economic_commercial_an_p3_eur_m,588.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0401 - P3)
gdp_gov_exp_economic_affairs_GF0402_agriculture_forestry_fishing_a_p3_eur_m,375.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0402 - P3)
gdp_gov_exp_economic_affairs_GF0403_fuel_and_energy_p3_eur_m,63.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0403 - P3)
gdp_gov_exp_economic_affairs_GF0404_mining_manufacturing_and_const_p3_eur_m,287.5,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0404 - P3)
gdp_gov_exp_economic_affairs_GF0405_transport_p3_eur_m,3126.9,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0405 - P3)
gdp_gov_exp_economic_affairs_GF0406_communication_p3_eur_m,56.2,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0406 - P3)
gdp_gov_exp_economic_affairs_GF0407_other_industries_p3_eur_m,315.6,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0407 - P3)
gdp_gov_exp_economic_affairs_GF0408_randd_economic_affairs_p3_eur_m,182.1,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0408 - P3)
gdp_gov_exp_economic_affairs_GF0409_economic_affairs_nec_p3_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0409 - P3)
gdp_gov_exp_economic_affairs_other_p3_eur_m,0.1,gdp_gov_exp_economic_affairs_p3_eur_m - sum(subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,Residual (P3)
gdp_gov_exp_environmental_protection_p3_eur_m,508.6,sum(mapped_subs),SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF05 - P3)
gdp_gov_exp_environmental_protection_GF0501_waste_management_p3_eur_m,139.7,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0501 - P3)
gdp_gov_exp_environmental_protection_GF0502_waste_water_management_p3_eur_m,0.0,FALSE,SRC_EUROSTAT_GOV10AEXP,https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_EXP/,2023 Annual,High,2023 (GF0502 - P3)
