hs2_code,exports_value_eur_m,imports_value_eur_m,period,source_id,source_url
01,163.854,561.634,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
02,61.365,1686.178,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
03,329.095,2133.858,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
04,388.554,864.350,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
05,73.540,69.214,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
06,135.282,167.332,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
07,372.987,777.093,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
08,388.339,799.898,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
09,110.906,269.503,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
10,163.772,1323.028,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
11,93.522,129.884,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
12,279.148,988.585,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
13,98.370,49.313,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
14,1.435,8.576,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
15,1262.658,858.713,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
16,330.542,391.881,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
17,277.180,521.921,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
18,91.674,312.953,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
19,536.977,833.119,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
20,723.507,484.307,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
21,259.838,618.582,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
22,1258.622,642.056,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
23,275.338,943.564,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
24,641.032,613.726,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
25,501.939,191.148,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
26,300.985,194.540,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
27,5098.051,12291.943,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
28,300.439,675.868,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
29,1088.426,2819.121,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
30,2658.167,3512.104,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
31,191.146,416.209,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
32,184.334,549.666,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
33,383.570,895.990,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
34,214.157,510.902,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
35,72.979,280.830,2023 Annual,SRC_EUROSTAT_DS045409,https://ec.europa.eu/eurostat/databrowser/view/DS-045409/
