"rank","trade_flow","product_code_system","product_code","product_name","value_eur_m","share_percent","period","source_id","source_url","notes"
"1","Export","HS","87","Vehicles other than railway or tramway rolling stock","9778.309","12.643","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"2","Export","HS","85","Electrical machinery and equipment and parts thereof","6596.222","8.529","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"3","Export","HS","84","Nuclear reactors, boilers, machinery and mechanical appliances","5305.964","6.861","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"4","Export","HS","27","Mineral fuels, mineral oils and products of their distillation","5098.051","6.592","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"5","Export","HS","39","Plastics and articles thereof","3617.442","4.677","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"6","Export","HS","61","Articles of apparel and clothing accessories, knitted or crocheted","2307.382","2.983","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"7","Export","HS","62","Articles of apparel and clothing accessories, not knitted or crocheted","1068.450","1.382","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"8","Export","HS","48","Paper and paperboard; articles of paper pulp","2272.763","2.939","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"9","Export","HS","30","Pharmaceutical products","2658.167","3.437","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"10","Export","HS","94","Furniture; bedding, mattresses, mattress supports","2419.936","3.129","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
