source_node_id,target_node_id,weight,arithmetic_role,equation,notes
gdp_gov_exp_general_public_services_eur_m,gdp_gov_consumption_G_eur_m,0.343889,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_eur_m,public_investment_p51g_eur_m,0.054657,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_eur_m,gov_interest_d4_eur_m,0.358478,add,source_node * weight,D4 share
gdp_gov_exp_general_public_services_eur_m,gdp_gov_exp_other_eur_m,0.242975,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_eur_m,gdp_gov_consumption_G_eur_m,0.531409,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_eur_m,public_investment_p51g_eur_m,0.052155,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_eur_m,gov_interest_d4_eur_m,0.000038,add,source_node * weight,D4 share
gdp_gov_exp_general_public_services_GF0101_executive_and_legislative_orga_eur_m,gdp_gov_exp_other_eur_m,0.416398,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0102_foreign_economic_aid_eur_m,gdp_gov_exp_other_eur_m,1.000000,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0103_general_services_eur_m,gdp_gov_consumption_G_eur_m,0.590553,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0103_general_services_eur_m,public_investment_p51g_eur_m,0.087015,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_GF0103_general_services_eur_m,gdp_gov_exp_other_eur_m,0.322433,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0104_basic_research_eur_m,gdp_gov_consumption_G_eur_m,0.264740,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0104_basic_research_eur_m,public_investment_p51g_eur_m,0.402739,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_GF0104_basic_research_eur_m,gdp_gov_exp_other_eur_m,0.332521,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0105_randd_general_public_services_eur_m,gdp_gov_consumption_G_eur_m,0.373333,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0105_randd_general_public_services_eur_m,public_investment_p51g_eur_m,0.544000,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_GF0105_randd_general_public_services_eur_m,gdp_gov_exp_other_eur_m,0.082667,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0106_general_public_services_nec_eur_m,gdp_gov_consumption_G_eur_m,0.758621,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0106_general_public_services_nec_eur_m,public_investment_p51g_eur_m,0.152490,add,source_node * weight,P51G share
gdp_gov_exp_general_public_services_GF0106_general_public_services_nec_eur_m,gdp_gov_exp_other_eur_m,0.088889,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_general_public_services_GF0107_public_debt_transactions_eur_m,gdp_gov_consumption_G_eur_m,0.079152,add,source_node * weight,P3 share
gdp_gov_exp_general_public_services_GF0107_public_debt_transactions_eur_m,gov_interest_d4_eur_m,0.920848,add,source_node * weight,D4 share
gdp_gov_exp_defence_eur_m,gdp_gov_consumption_G_eur_m,0.901550,add,source_node * weight,P3 share
gdp_gov_exp_defence_eur_m,public_investment_p51g_eur_m,0.191041,add,source_node * weight,P51G share
gdp_gov_exp_defence_eur_m,gdp_gov_exp_other_eur_m,-0.092591,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_defence_GF0201_military_defence_eur_m,gdp_gov_consumption_G_eur_m,0.911853,add,source_node * weight,P3 share
gdp_gov_exp_defence_GF0201_military_defence_eur_m,public_investment_p51g_eur_m,0.204495,add,source_node * weight,P51G share
gdp_gov_exp_defence_GF0201_military_defence_eur_m,gdp_gov_exp_other_eur_m,-0.116348,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_defence_GF0203_foreign_military_aid_eur_m,gdp_gov_consumption_G_eur_m,0.969003,add,source_node * weight,P3 share
gdp_gov_exp_defence_GF0203_foreign_military_aid_eur_m,public_investment_p51g_eur_m,0.033693,add,source_node * weight,P51G share
gdp_gov_exp_defence_GF0203_foreign_military_aid_eur_m,gdp_gov_exp_other_eur_m,-0.002695,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_defence_GF0204_randd_defence_eur_m,gdp_gov_consumption_G_eur_m,0.604348,add,source_node * weight,P3 share
gdp_gov_exp_defence_GF0204_randd_defence_eur_m,public_investment_p51g_eur_m,0.382609,add,source_node * weight,P51G share
gdp_gov_exp_defence_GF0204_randd_defence_eur_m,gdp_gov_exp_other_eur_m,0.013043,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_defence_GF0205_defence_nec_eur_m,gdp_gov_consumption_G_eur_m,0.774721,add,source_node * weight,P3 share
gdp_gov_exp_defence_GF0205_defence_nec_eur_m,public_investment_p51g_eur_m,0.062454,add,source_node * weight,P51G share
gdp_gov_exp_defence_GF0205_defence_nec_eur_m,gdp_gov_exp_other_eur_m,0.162825,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_public_order_safety_eur_m,gdp_gov_consumption_G_eur_m,0.788985,add,source_node * weight,P3 share
gdp_gov_exp_public_order_safety_eur_m,public_investment_p51g_eur_m,0.058718,add,source_node * weight,P51G share
gdp_gov_exp_public_order_safety_eur_m,gdp_gov_exp_other_eur_m,0.152297,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_public_order_safety_GF0301_police_services_eur_m,gdp_gov_consumption_G_eur_m,0.877837,add,source_node * weight,P3 share
gdp_gov_exp_public_order_safety_GF0301_police_services_eur_m,public_investment_p51g_eur_m,0.074060,add,source_node * weight,P51G share
gdp_gov_exp_public_order_safety_GF0301_police_services_eur_m,gdp_gov_exp_other_eur_m,0.048103,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_public_order_safety_GF0302_fire_protection_services_eur_m,gdp_gov_consumption_G_eur_m,0.318274,add,source_node * weight,P3 share
gdp_gov_exp_public_order_safety_GF0302_fire_protection_services_eur_m,public_investment_p51g_eur_m,0.025127,add,source_node * weight,P51G share
gdp_gov_exp_public_order_safety_GF0302_fire_protection_services_eur_m,gdp_gov_exp_other_eur_m,0.656599,add,source_node * weight,Leakage (D3/D9/etc) share
gdp_gov_exp_public_order_safety_GF0303_law_courts_eur_m,gdp_gov_consumption_G_eur_m,0.772916,add,source_node * weight,P3 share
gdp_gov_exp_public_order_safety_GF0303_law_courts_eur_m,public_investment_p51g_eur_m,0.005438,add,source_node * weight,P51G share
